isolate	year
1862|OXC5332	2010
1863|OXC5333	2010
1864|OXC5334	2010
1865|OXC5335	2010
1866|OXC5336	2010
1867|OXC5337	2010
1869|OXC5341	2010
1870|OXC5342	2010
1871|OXC5343	2010
1872|OXC5344	2010
1873|OXC5346	2010
1875|OXC5349	2010
1876|OXC5350	2010
1879|OXC5358	2010
1881|OXC5364	2010
1882|OXC5368	2010
1884|OXC5371	2010
1885|OXC5372	2010
1886|OXC5373	2010
1887|OXC5375	2010
1888|OXC5376	2010
1889|OXC5377	2010
1890|OXC5378	2010
1891|OXC5380	2010
1892|OXC5381	2010
1893|OXC5383	2010
1894|OXC5385	2010
1896|OXC5390	2010
1898|OXC5392	2010
1899|OXC5393	2010
1900|OXC5394	2010
1901|OXC5395	2010
1902|OXC5396	2010
1903|OXC5397	2010
1904|OXC5474	2010
1905|OXC5475	2010
1906|OXC5476	2010
1907|OXC5477	2010
1908|OXC5479	2010
1910|OXC5627	2010
1911|OXC5660	2010
1912|OXC5664	2010
1913|OXC5665	2010
1914|OXC5669	2010
1916|OXC5671	2010
1917|OXC5672	2010
1918|OXC5673	2010
1919|OXC5674	2010
1920|OXC5675	2010
1921|OXC5676	2010
1923|OXC5679	2010
1924|OXC5680	2010
1926|OXC5682	2010
1928|OXC5686	2010
1930|OXC5689	2010
1931|OXC5690	2010
1932|OXC5691	2010
1933|OXC5694	2010
1934|OXC5695	2010
1935|OXC5696	2010
1936|OXC5698	2010
1937|OXC5700	2010
1938|OXC5701	2010
1939|OXC5702	2010
1940|OXC5703	2010
1942|OXC5707	2010
1943|OXC5708	2010
1944|OXC5709	2010
1945|OXC5710	2010
1946|OXC5711	2010
1947|OXC5712	2010
1948|OXC5713	2010
1949|OXC5715	2010
1950|OXC5716	2010
1951|OXC5720	2010
1953|OXC5484	2010
1955|OXC5490	2010
1956|OXC5493	2010
1957|OXC5495	2010
1958|OXC5497	2010
1959|OXC5499	2010
1960|OXC5604	2010
1962|OXC5608	2010
1963|OXC5613	2010
1964|OXC5614	2010
1965|OXC5616	2010
1966|OXC5617	2010
1967|OXC5618	2010
1968|OXC5620	2010
1969|OXC5622	2010
1970|OXC5623	2010
1971|OXC5625	2010
1972|OXC5626	2010
1973|OXC5628	2010
1975|OXC5630	2010
1976|OXC5631	2010
1977|OXC5632	2010
1978|OXC5633	2010
1979|OXC5634	2010
1981|OXC5636	2010
1982|OXC5638	2010
1983|OXC5639	2010
1984|OXC5640	2010
1985|OXC5641	2010
1986|OXC5642	2010
1987|OXC5643	2010
1988|OXC5645	2010
1989|OXC5646	2010
1991|OXC5648	2010
1992|OXC5649	2010
1993|OXC5651	2010
1994|OXC5652	2010
1995|OXC5782	2010
1998|OXC5787	2010
1999|OXC5834	2010
2000|OXC5835	2010
2001|OXC5498	2010
2003|OXC5838	2010
2004|OXC5839	2010
2005|OXC5840	2010
2006|OXC5841	2010
2008|OXC5843	2011
2009|OXC5844	2011
2010|OXC5845	2011
2011|OXC5846	2011
2012|OXC5847	2011
2013|OXC5848	2011
2015|OXC5850	2011
2016|OXC5851	2011
2017|OXC5852	2011
2019|OXC5854	2011
2022|OXC5857	2011
2024|OXC5859	2011
2025|OXC5860	2011
2026|OXC5861	2011
2027|OXC5862	2011
2028|OXC5863	2011
2030|OXC5865	2011
2031|OXC5866	2011
2032|OXC5869	2011
2034|OXC5871	2011
2035|OXC5872	2011
2037|OXC5874	2011
