	2|171	17|CAMP2588	19|CAMP3129	133|Cc90-3	134|CcZ163	135|Cc2548	136|Cc2553	137|Cc2680	138|Cc2685	140|Cc2692	141|Cc2698	142|Cc84-2	143|Cc80352	145|Cc1091	147|Cc1148	148|Cc1417	149|Cc132-6	150|Cc1891	151|Cc1909	152|Cc59-2	153|Cc1948	154|Cc1957	155|Cc1961	156|Cc202/04	164|Cc151-9	167|CcH6	168|CcH8	169|CCH9	170|CcH56	171|CcZ156	282|SS_074	287|SS_127	289|SS_150	292|SS_160	294|SS_168	296|SS_193	297|SS_194	305|SS_219	307|SS_229	310|SS_253	313|SS_260	314|SS_294	316|SS_305	318|SS_309	322|SS_319	328|SS_062	332|SS_067	335|SS_073	338|SS_082	341|SS_090	343|SS_093	346|SS_106	350|SS_114	352|SS_118	353|SS_119	354|SS_122	358|SS_132	361|SS_142	362|SS_145	363|SS_146	366|SS_151	377|SS_176	383|SS_186	386|SS_189	391|SS_213	398|SS_234	400|SS_240	402|SS_246	404|SS_250	407|SS_255	408|SS_258	410|SS_261	413|SS_288	415|SS_290	419|SS_298	420|SS_299	425|SS_306	426|SS_308	432|SS_321	436|SS_026	439|SS_031	442|SS_034	450|SS_043	454|SS_047	455|SS_049	456|SS_051	457|SS_052	459|SS_054	465|SS_275	468|SS_281	473|SS_076	482|SS_097	485|SS_101	487|SS_103	1703|SS_143	1708|SS_157	1716|SS_183	1725|SS_205	1741|SS_293	1743|SS_263	1746|SS_266	1748|SS_268	1753|SS_273	1755|SS_001	1767|SS_013	1770|SS_018	1773|SS_023	1777|SS_035	1783|SS_328	1788|SS_334	1789|SS_335	1792|SS_338	1797|SS_343	1798|SS_344	1809|SS_384	1815|SS_390	1816|SS_391	1820|SS_395	1821|SS_396	1824|SS_399	1825|SS_400	1826|SS_401	1827|SS_402	1828|SS_403	1852|SS_595	1855|SS_614	1874|OXC5348	1877|OXC5353	1880|OXC5363	1883|OXC5370	1895|OXC5386	1897|OXC5391	1922|OXC5677	1927|OXC5685	1929|OXC5688	1941|OXC5705	1954|OXC5486	1974|OXC5629	1980|OXC5635	2002|OXC5837	2007|OXC5842	2014|OXC5849	2018|OXC5853	2020|OXC5855	2021|OXC5856	2029|OXC5864	2096|OXC5723	2110|OXC5742	2125|OXC5763	2130|OXC5768	2134|OXC5773	2150|OXC5796	2173|OXC5810	2190|OXC5827	2194|OXC5831	2238|OXC5922	2239|OXC5923	2264|C15	2279|H13	2311|Seal4	2389|Seal55	2391|Seal60	2392|Seal61	2393|Seal64	2394|Seal66	2395|Seal69	2418|Seal110	2423|Seal120	2428|Seal129	2429|Seal130	2434|Seal141	2440|Seal153	2446|Seal171	2492|OXC6559	2497|OXC6568	2500|OXC6576	2501|OXC6577	2503|OXC6253	2505|OXC6258	2507|OXC6263	2509|OXC6267	2512|OXC6276	2522|OXC6296	2523|OXC6297	2528|OXC6308	2529|OXC6309	2531|OXC6312	2544|OXC6337	2545|OXC6338	2548|OXC6343	2556|OXC6371	2557|OXC6372	2558|OXC6376	2559|OXC6378	2561|OXC6380	2564|OXC6385	2565|OXC6386	2568|OXC6400	2570|OXC6416	2573|OXC6424	2574|OXC6426	2575|OXC6428	2578|OXC6447	2583|OXC6460	2586|OXC6471	2587|OXC6472	2588|OXC6474	2589|OXC6476	2597|OXC6504	2600|OXC6513	2606|OXC6523	2612|OXC6537	2620|OXC6597	2623|OXC6601	2636|OXC6630	2642|OXC6651	2655|OXC6684	2656|OXC6685	2662|OXC6705	2669|OXC6725	2675|OXC6735	2676|OXC6738	2678|OXC6744	2682|OXC6761	2685|OXC6765	2690|OXC6785	2698|OXC6810	2701|OXC6817	2706|OXC6825	2709|OXC6933	2710|OXC6937	2721|OXC6962	2726|OXC6984	2728|OXC6987	2731|OXC6996	2738|OXC7110	2741|OXC7124	2743|OXC7130	2744|OXC7131	2756|OXC7154	2759|OXC7164	2765|OXC6847	2774|OXC6864	2779|OXC6873	2788|OXC6901	2791|OXC6920	2802|OXC7027	2811|OXC7051	2812|OXC7054	2818|OXC7070	2824|OXC7082	2825|OXC7083	2830|OXC7097	2835|OXC7177	2843|OXC7199	2844|OXC7200	3070|SS_1614	3072|SS_1617	3074|SS_1624	3077|SS_1628	3089|SS_1652	3099|SS_1668	3150|LDI6736	3151|LDI6737	3152|LDI6738	3154|LDI6740	3156|LDI6742	3158|LDI6744	3160|LDI6746	3161|LDI6747	3162|LDI6748	3164|LDI6750	3166|LDI6752	3167|LDI6753	3169|LDI6755	3170|LDI6756	3171|LDI6757	3174|LDI6760	3176|LDI6762	3178|LDI6764	3180|LDI6766	3181|LDI6767	3183|LDI6769	3184|LDI6770	3185|LDI6771	3186|LDI6772	3187|LDI6773	3198|LDI6784	3200|LDI6786	3202|LDI6788	3204|LDI6790	3208|LDI6794	3209|LDI6795	3210|LDI6796	3214|LDI6800	3215|LDI6801	3216|LDI6802	3217|LDI6803	3218|LDI6804	3223|LDI6809	3225|LDI6811	3226|LDI6812	3227|LDI6813	3237|LDI6827	3239|LDI6829	3241|LDI6831	3242|01C	3244|02T	3253|10aC	3255|10cC	3256|10T	3259|13C	3270|19C	3271|19T	3277|22C	3278|22T	3282|25C	3283|25T	3511|SH-CCH11C334	3513|SH-CCH11C390	3514|SH-CCF11C627	3515|SH-CCH11C605	3516|SH-CCD11C671	3517|SH-CCHF12C088	3518|SH-CCD12C100	3520|ZJ2013-CCHD50	3738|p546B	3739|H095340114	3741|p635D	3746|H073180384	3747|p474A	3748|p474C	3751|p635A	3752|H123080386	3753|p515B	3754|H063900401	3756|p588B	3760|H125280575	3761|p546D	3762|H044660164	3766|H065100499	3767|p474B	3768|H062580346	3769|p588D	3770|H133020651	3777|SWAN195_3	3780|p604B	3781|p546C	3785|SWAN392	3787|H075200514	3788|p604D	3790|UNNQFC9	3793|SWAN350	3794|p495D	3795|p494D	3796|H140200373	3797|UNOR8693b	3798|UNOR7592c	3799|UNOR4451c	3800|UNOR5482c	3801|UNOR10622c	3802|UNF5421c	3803|UNOR13691b	3804|CCN182coli	3805|UNQMC11S16coli	3806|NCTC11438	3808|CCN26	3809|CCN55	3815|CCN264	3817|CCN289	3823|H081940749	3824|p546A	3827|H093580323	3829|H051080182	3831|H090780151	3834|H073900238	3836|H043880651	3838|H132580232	3839|H102740168	3841|H060280132	3842|H072820536	3844|H043940494	3845|H092660305	3847|NCTC11353	3848|H132760142	3849|H070680142	3850|H063540531	3853|H073700405	3854|H132680116	3856|H103600372	3858|H072620568	3859|H121060205	3861|H074360315	3863|H094560717	3866|H054000444	3870|H072680465	3871|H083960630	3874|H090520713	3875|H053280346	3877|H054000445	3878|H121240502	3879|H043920292	3880|H125000370	3881|H112820480	3882|H142080277	3883|H134460277	3884|H051160594	3887|H090660740	3888|H093960099	3890|H091320788	3894|H063900532	3897|p604A	3899|H042120298	3901|H132480140	3902|H132940658	3903|H130500174	3904|H132580239	3906|H103480422	3907|H093100604	3908|H120960536	3910|H121760164	3914|H094280625	3915|H043940500	3920|H092260570	3922|H054900335	3923|H063800423	3924|p495c	3925|H043900429	4263|LDI12893	4265|LDI12895	4266|LDI12896	4267|LDI12897	4269|LDI12899	4270|LDI12900	4271|LDI12901	4273|LDI12903	4274|LDI12904	4275|LDI12905	4276|LDI12906	4277|LDI12907	4279|LDI12909	4280|LDI12910	4281|LDI12911	4282|LDI12912	4283|LDI12913	4285|LDI12915	4286|LDI12916	4287|LDI12917	4288|LDI12918	4289|LDI12919	4291|LDI12921	4293|LDI12923	4294|LDI12924	4295|LDI12925	4296|LDI12926	4297|LDI12927	4298|LDI12928	4299|LDI12929	4300|LDI12930	4301|LDI12931	4302|LDI12932	4304|LDI12934	4305|LDI12935	4306|LDI12936	4307|LDI12937	4308|LDI12938	4309|LDI12939	4311|LDI12941	4312|LDI12942	4313|LDI12943	4314|LDI12944	4315|LDI12945	4316|LDI12946	4318|LDI12948	4319|LDI12949	4320|LDI12950	4321|LDI12951	4322|LDI12952	4323|LDI12953	4324|LDI12954	4327|LDI12957	4328|LDI12958	4329|LDI12959	4330|LDI12960	4331|LDI12961	4332|LDI12962	4333|LDI12963	4334|LDI12964	4336|LDI12966	4337|LDI12967	4338|LDI12968	4339|LDI12969	4340|LDI12970	4341|LDI12971	4343|LDI12973	4344|LDI12974	4345|LDI12975	4346|LDI12976	4347|LDI12977	4348|LDI12978	4350|LDI12980	4351|LDI12981	4352|LDI13538	4353|LDI13539	4354|LDI13540	4355|LDI13542	4356|LDI13543	4357|LDI13544	4358|LDI13545	4359|LDI13546	4360|LDI13547	4361|LDI13548	4362|LDI13549	4363|LDI13550	4364|LDI13551	4366|LDI13553	4367|LDI13554	4368|LDI13555	4371|LDI13558	4372|LDI13559	4373|LDI13560	4374|LDI13561	4375|LDI13562	4376|LDI13563	4377|LDI13564	4378|LDI13565	4379|LDI13566	4380|LDI13567	4381|LDI13568	4382|LDI13569	4383|LDI13570	4385|LDI13572	4386|LDI13573	4387|LDI13574	4388|LDI13575	4389|LDI13576	4391|LDI13578	4392|LDI13579	4393|LDI13580	4394|LDI13581	4395|LDI13582	4396|LDI13583	4397|LDI13584	4398|LDI13585	4399|LDI13586	4400|LDI13587	4401|LDI13588	4402|LDI13589	4403|LDI13590	4404|LDI13591	4405|LDI13592	4406|LDI13593	4407|LDI13594	4408|LDI13595	4409|LDI13596	4410|LDI13597	4411|LDI13598	4413|LDI13600	4414|LDI13601	4415|LDI13602	4416|LDI13603	4417|LDI13604	4418|LDI13605	4420|LDI13607	4423|LDI13610	4424|LDI13611	4425|LDI13612	4426|LDI13613	4427|LDI13614	4429|LDI13616	4430|LDI13617	4432|LDI13619	4433|LDI13620	4434|LDI13621	4435|LDI13622	4436|LDI13623	4437|LDI13624	4438|LDI13625	4439|LDI13626	4440|LDI13627	4441|LDI13628	4442|LDI13629	4444|LDI13631	4445|LDI13632	4446|LDI13633	4447|LDI13634	4448|LDI13635	5724|78-64	5778|80-144	5779|80-214	5782|80-217	5783|80-218	5784|80-220	5787|82-140	5788|82-147	5789|82-161	5791|82-87	5792|84-24	5793|85-67	6355|NCTC12143	6359|NCTC11437
2|171	0	2	3	2	9	1	2	1	1	0	0	3	3	1	1	1	2	0	1	3	0	0	0	2	2	2	2	2	8	9	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	6	6	6	6	6	5	5	5	6	5	6	6	5	6	6	6	6	5	5	5	4	5	4	4	5	5	5	5	5	2	2	2	2	2	2	2	2	2	2	2	5	5	5	5	5	5	5	5	5	7	8	7	8	3	3	3	3	2	3	3	3	8	2	2	4	4	4	4	4	4	5	5	5	5	9	9	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	7	7	7	7	7	8	8	8	8	8	8	3	4	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	10	10	10	10	10	10	10	4	10	10	0	11	11	10	10	20	11	2	10	10	5	11	11	10	20	10	9	4	10	10	5	11	4	10	0	10	10	10	10	2	10	10	10	11	10	10	11	11	10	10	11	11	11	11	11	11	11	11	11	11	11	11	8	8	8	8	8	9	9	10	11	6	11	4	11	11	11	9	11	3	11	9	11	1	3	11	3	11	10	10	11	11	10	4	11	5	10	11	11	11	0	0	0	0	0	0	0	12	4	23	10	10	12	10	5	11	6	2	6	4	1	10	7	3	4	1	6	4	10	4	3	4	10	7	4	9	4	6	2	4	5	6	2	2	9	1	9	8	11	10	2	6	6	6	3	11	1	10	10	10	10	7	6	9	9	6	1	6	2	3	11	1	7	11	11	11	8	11	10	11	11	11	8	9	10	11	4	11	11	7	11	10	11	5	11	6	1	10	11	11	11	11	10	9	8	11	11	11	11	7	11	1	11	11	11	11	3	9	7	11	11	11	11	11	8	11	11	11	11	10	10	10	11	11	11	11	1	7	11	11	11	11	11	2	11	11	10	4	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	6	1	2	1	1	6	1	1	2	1	1	2	1	1	1	1	1	1	1	6	1	1	1	1	25	23	23	23	23	23	21	21	21	21	19	18	15	23
17|CAMP2588	2	0	1	4	7	3	4	3	3	2	2	5	5	3	3	3	4	2	3	5	2	2	2	0	4	0	0	0	10	7	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	4	4	4	4	4	3	3	3	4	3	4	4	3	4	4	4	4	3	3	3	2	3	2	2	3	3	3	3	3	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	3	3	3	3	5	6	5	6	1	1	1	1	0	1	1	1	6	0	4	2	2	2	2	2	2	3	3	3	3	7	7	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	6	6	6	6	5	5	5	5	5	6	6	6	6	6	6	1	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	2	8	8	2	9	9	8	8	22	9	4	8	8	3	9	9	8	22	8	7	2	8	8	3	9	2	8	2	8	8	8	8	4	8	8	8	9	8	8	9	9	8	8	9	9	9	9	9	9	9	9	9	9	9	9	6	6	6	6	6	7	7	8	9	4	9	2	9	9	9	7	9	1	9	7	9	1	1	9	1	9	8	8	9	9	8	2	9	3	8	9	9	9	2	2	2	2	2	2	2	10	2	25	8	8	10	8	3	9	4	0	4	2	1	8	5	1	2	1	4	6	8	2	1	2	8	5	2	7	2	4	0	2	3	4	0	0	7	1	7	6	9	8	0	4	4	4	1	9	1	8	8	8	8	5	4	7	7	4	1	4	0	1	9	1	5	9	9	9	6	9	8	9	9	9	6	7	8	9	2	9	9	5	9	8	9	3	9	4	1	8	9	9	9	9	8	7	6	9	9	9	9	5	9	1	9	9	9	9	1	7	5	9	9	9	9	9	6	9	9	9	9	8	8	8	9	9	9	9	1	5	9	9	9	9	9	0	9	9	8	2	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	4	1	0	1	1	4	1	1	0	1	1	0	1	1	1	1	1	1	1	4	1	1	1	1	27	25	25	25	25	25	23	23	23	23	21	20	17	25
19|CAMP3129	3	1	0	5	6	4	5	4	4	3	3	6	6	4	4	4	5	3	4	6	3	3	3	1	5	1	1	1	11	6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	3	3	3	3	3	2	2	2	3	2	3	3	2	3	3	3	3	2	2	2	1	2	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	4	5	4	5	0	0	0	0	1	0	0	0	5	1	5	1	1	1	1	1	1	2	2	2	2	6	6	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	5	5	5	4	4	4	4	4	5	5	5	5	5	5	0	7	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	1	7	7	3	8	8	7	7	23	8	5	7	7	2	8	8	7	23	7	6	1	7	7	2	8	1	7	3	7	7	7	7	5	7	7	7	8	7	7	8	8	7	7	8	8	8	8	8	8	8	8	8	8	8	8	5	5	5	5	5	6	6	7	8	3	8	1	8	8	8	6	8	0	8	6	8	2	0	8	0	8	7	7	8	8	7	1	8	2	7	8	8	8	3	3	3	3	3	3	3	9	1	26	7	7	9	7	2	8	3	1	3	1	2	7	4	0	1	2	3	7	7	1	0	1	7	4	1	6	1	3	1	1	2	3	1	1	6	2	6	5	8	7	1	3	3	3	0	8	2	7	7	7	7	4	3	6	6	3	2	3	1	0	8	2	4	8	8	8	5	8	7	8	8	8	5	6	7	8	1	8	8	4	8	7	8	2	8	3	2	7	8	8	8	8	7	6	5	8	8	8	8	4	8	2	8	8	8	8	0	6	4	8	8	8	8	8	5	8	8	8	8	7	7	7	8	8	8	8	2	4	8	8	8	8	8	1	8	8	7	1	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	3	2	1	2	2	3	2	2	1	2	2	1	2	2	2	2	2	2	2	3	2	2	2	2	28	26	26	26	26	26	24	24	24	24	22	21	18	26
133|Cc90-3	2	4	5	0	11	1	0	1	1	2	2	1	1	1	1	1	0	2	1	1	2	2	2	4	0	4	4	4	6	11	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	8	8	8	8	8	7	7	7	8	7	8	8	7	8	8	8	8	7	7	7	6	7	6	6	7	7	7	7	7	4	4	4	4	4	4	4	4	4	4	4	7	7	7	7	7	7	7	7	7	9	10	9	10	5	5	5	5	4	5	5	5	10	4	0	6	6	6	6	6	6	7	7	7	7	11	11	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	10	10	10	10	10	9	9	9	9	9	10	10	10	10	10	10	5	2	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	12	12	12	12	12	12	12	6	12	12	2	13	13	12	12	18	13	0	12	12	7	13	13	12	18	12	11	6	12	12	7	13	6	12	2	12	12	12	12	0	12	12	12	13	12	12	13	13	12	12	13	13	13	13	13	13	13	13	13	13	13	13	10	10	10	10	10	11	11	12	13	8	13	6	13	13	13	11	13	5	13	11	13	3	5	13	5	13	12	12	13	13	12	6	13	7	12	13	13	13	2	2	2	2	2	2	2	14	6	21	12	12	14	12	7	13	8	4	8	6	3	12	9	5	6	3	8	2	12	6	5	6	12	9	6	11	6	8	4	6	7	8	4	4	11	3	11	10	13	12	4	8	8	8	5	13	3	12	12	12	12	9	8	11	11	8	3	8	4	5	13	3	9	13	13	13	10	13	12	13	13	13	10	11	12	13	6	13	13	9	13	12	13	7	13	8	3	12	13	13	13	13	12	11	10	13	13	13	13	9	13	3	13	13	13	13	5	11	9	13	13	13	13	13	10	13	13	13	13	12	12	12	13	13	13	13	3	9	13	13	13	13	13	4	13	13	12	6	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	8	3	4	3	3	8	3	3	4	3	3	4	3	3	3	3	3	3	3	8	3	3	3	3	23	21	21	21	21	21	19	19	19	19	17	16	13	21
134|CcZ163	9	7	6	11	0	10	11	10	10	9	9	12	12	10	10	10	11	9	10	12	9	9	9	7	11	7	7	7	17	0	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	3	3	3	3	3	4	4	4	3	4	3	3	4	3	3	3	3	4	4	4	5	4	5	5	4	4	4	4	4	7	7	7	7	7	7	7	7	7	7	7	4	4	4	4	4	4	4	4	4	2	1	2	1	6	6	6	6	7	6	6	6	1	7	11	5	5	5	5	5	5	4	4	4	4	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	6	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	5	1	1	9	2	2	1	1	29	2	11	1	1	4	2	2	1	29	1	0	5	1	1	4	2	5	1	9	1	1	1	1	11	1	1	1	2	1	1	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	0	0	1	2	3	2	5	2	2	2	0	2	6	2	0	2	8	6	2	6	2	1	1	2	2	1	5	2	4	1	2	2	2	9	9	9	9	9	9	9	3	5	32	1	1	3	1	4	2	3	7	3	5	8	1	2	6	5	8	3	13	1	5	6	5	1	2	5	0	5	3	7	5	4	3	7	7	0	8	0	1	2	1	7	3	3	3	6	2	8	1	1	1	1	2	3	0	0	3	8	3	7	6	2	8	2	2	2	2	1	2	1	2	2	2	1	0	1	2	5	2	2	2	2	1	2	4	2	3	8	1	2	2	2	2	1	0	1	2	2	2	2	2	2	8	2	2	2	2	6	0	2	2	2	2	2	2	1	2	2	2	2	1	1	1	2	2	2	2	8	2	2	2	2	2	2	7	2	2	1	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	8	7	8	8	3	8	8	7	8	8	7	8	8	8	8	8	8	8	3	8	8	8	8	34	32	32	32	32	32	30	30	30	30	28	27	24	32
135|Cc2548	1	3	4	1	10	0	1	0	0	1	1	2	2	0	0	0	1	1	0	2	1	1	1	3	1	3	3	3	7	10	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	6	7	7	7	7	7	6	6	6	7	6	7	7	6	7	7	7	7	6	6	6	5	6	5	5	6	6	6	6	6	3	3	3	3	3	3	3	3	3	3	3	6	6	6	6	6	6	6	6	6	8	9	8	9	4	4	4	4	3	4	4	4	9	3	1	5	5	5	5	5	5	6	6	6	6	10	10	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9	9	8	8	8	8	8	9	9	9	9	9	9	4	3	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	11	11	11	11	11	11	5	11	11	1	12	12	11	11	19	12	1	11	11	6	12	12	11	19	11	10	5	11	11	6	12	5	11	1	11	11	11	11	1	11	11	11	12	11	11	12	12	11	11	12	12	12	12	12	12	12	12	12	12	12	12	9	9	9	9	9	10	10	11	12	7	12	5	12	12	12	10	12	4	12	10	12	2	4	12	4	12	11	11	12	12	11	5	12	6	11	12	12	12	1	1	1	1	1	1	1	13	5	22	11	11	13	11	6	12	7	3	7	5	2	11	8	4	5	2	7	3	11	5	4	5	11	8	5	10	5	7	3	5	6	7	3	3	10	2	10	9	12	11	3	7	7	7	4	12	2	11	11	11	11	8	7	10	10	7	2	7	3	4	12	2	8	12	12	12	9	12	11	12	12	12	9	10	11	12	5	12	12	8	12	11	12	6	12	7	2	11	12	12	12	12	11	10	9	12	12	12	12	8	12	2	12	12	12	12	4	10	8	12	12	12	12	12	9	12	12	12	12	11	11	11	12	12	12	12	2	8	12	12	12	12	12	3	12	12	11	5	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	7	2	3	2	2	7	2	2	3	2	2	3	2	2	2	2	2	2	2	7	2	2	2	2	24	22	22	22	22	22	20	20	20	20	18	17	14	22
136|Cc2553	2	4	5	0	11	1	0	1	1	2	2	1	1	1	1	1	0	2	1	1	2	2	2	4	0	4	4	4	6	11	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	8	8	8	8	8	7	7	7	8	7	8	8	7	8	8	8	8	7	7	7	6	7	6	6	7	7	7	7	7	4	4	4	4	4	4	4	4	4	4	4	7	7	7	7	7	7	7	7	7	9	10	9	10	5	5	5	5	4	5	5	5	10	4	0	6	6	6	6	6	6	7	7	7	7	11	11	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	10	10	10	10	10	9	9	9	9	9	10	10	10	10	10	10	5	2	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	12	12	12	12	12	12	12	6	12	12	2	13	13	12	12	18	13	0	12	12	7	13	13	12	18	12	11	6	12	12	7	13	6	12	2	12	12	12	12	0	12	12	12	13	12	12	13	13	12	12	13	13	13	13	13	13	13	13	13	13	13	13	10	10	10	10	10	11	11	12	13	8	13	6	13	13	13	11	13	5	13	11	13	3	5	13	5	13	12	12	13	13	12	6	13	7	12	13	13	13	2	2	2	2	2	2	2	14	6	21	12	12	14	12	7	13	8	4	8	6	3	12	9	5	6	3	8	2	12	6	5	6	12	9	6	11	6	8	4	6	7	8	4	4	11	3	11	10	13	12	4	8	8	8	5	13	3	12	12	12	12	9	8	11	11	8	3	8	4	5	13	3	9	13	13	13	10	13	12	13	13	13	10	11	12	13	6	13	13	9	13	12	13	7	13	8	3	12	13	13	13	13	12	11	10	13	13	13	13	9	13	3	13	13	13	13	5	11	9	13	13	13	13	13	10	13	13	13	13	12	12	12	13	13	13	13	3	9	13	13	13	13	13	4	13	13	12	6	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	8	3	4	3	3	8	3	3	4	3	3	4	3	3	3	3	3	3	3	8	3	3	3	3	23	21	21	21	21	21	19	19	19	19	17	16	13	21
